,l_f/d_f,l_f,V_f,f_c,d,c/d,l/d,"τ_u,exp"
D2M0L2-1,0,0,0,45.28,16,4.19,5,15.76
D2M0L2-2,0,0,0,45.28,16,4.19,5,13.79
D2M0L2-3,0,0,0,45.28,16,4.19,5,14.84
D2M2L2-1,65,35,0.75,42.02,16,4.19,5,14.8
D2M2L2-2,65,35,0.75,42.02,16,4.19,5,15.49
D2M2L2-3,65,35,0.75,42.02,16,4.19,5,13.32
D2M1L2-1,65,35,0.5,45.88,16,4.19,5,16.94
D2M1L2-2,65,35,0.5,45.88,16,4.19,5,14.97
D2M1L2-3,65,35,0.5,45.88,16,4.19,5,18.07
D2M3L2-1,65,35,1,44.59,16,4.19,5,19.12
D2M3L2-2,65,35,1,44.59,16,4.19,5,16.16
D2M3L2-3,65,35,1,44.59,16,4.19,5,19.15
D1M0L2-1,0,0,0,45.28,12,5.75,5,19.09
D1M0L2-2,0,0,0,45.28,12,5.75,5,20
D1M0L2-3,0,0,0,45.28,12,5.75,5,17.36
D1M2L2-1,65,35,0.75,42.02,12,5.75,5,14.33
D1M2L2-2,65,35,0.75,42.02,12,5.75,5,21.32
D1M2L2-3,65,35,0.75,42.02,12,5.75,5,20.39
D3M0L2-1,0,0,0,45.28,20,3.25,5,10.13
D3M0L2-2,0,0,0,45.28,20,3.25,5,8.88
D3M0L2-3,0,0,0,45.28,20,3.25,5,9.33
D3M2L2-1,65,35,0.75,42.02,20,3.25,5,13.54
D3M2L2-2,65,35,0.75,42.02,20,3.25,5,12.61
D3M2L2-3,65,35,0.75,42.02,20,3.25,5,12.54
D2M0L1-1,0,0,0,45.28,16,4.19,3,19.37
D2M0L1-2,0,0,0,45.28,16,4.19,3,20.46
D2M0L1-3,0,0,0,45.28,16,4.19,3,19.68
D2M2L1-1,65,35,0.75,42.02,16,4.19,3,20.95
D2M2L1-2,65,35,0.75,42.02,16,4.19,3,20.51
D2M2L1-3,65,35,0.75,42.02,16,4.19,3,21.07
D2M0L3-1,0,0,0,45.28,16,4.19,7,8.14
D2M0L3-2,0,0,0,45.28,16,4.19,7,11.28
D2M0L3-3,0,0,0,45.28,16,4.19,7,10.05
D2M2L3-1,65,35,0.75,42.02,16,4.19,7,11.06
D2M2L3-2,65,35,0.75,42.02,16,4.19,7,10.4
D2M2L3-3,65,35,0.75,42.02,16,4.19,7,10.86
Campione-1,60,30,0,22,12,6.58,5,15.53
Campione-2,60,30,0,22,12,6.58,8,14.95
Campione-3,60,30,0.5,26,12,6.58,5,18.44
Campione-4,60,30,1,27.5,12,6.58,5,19
Campione-5,60,30,2,29,12,6.58,5,21.52
Campione-6,60,30,0.5,26,12,6.58,8,16.61
Campione-7,60,30,1,27.5,12,6.58,8,16.07
Campione-8,60,30,2,29,12,6.58,8,17.68
Leone-PA_1,0,0,0,34.05,16,0.94,5,8.62
Leone-PA_2,0,0,0,34.05,16,0.94,5,8.86
Leone-PA_3,0,0,0,34.05,16,0.94,5,8.26
Leone-PB_1,0,0,0,34.05,16,1.56,5,11.37
Leone-PB_2,0,0,0,34.05,16,1.56,5,12.56
Leone-PB_3,0,0,0,34.05,16,1.56,5,12.63
Leone-IA_1,50,30,0.3,34.32,16,0.94,5,7.83
Leone-IA_2,50,30,0.3,34.32,16,0.94,5,7.94
Leone-IA_3,50,30,0.3,34.32,16,0.94,5,8.47
Leone-IB_1,50,30,0.3,34.32,16,1.56,5,7.93
Leone-IB_2,50,30,0.3,34.32,16,1.56,5,8.91
Leone-IB_3,50,30,0.3,34.32,16,1.56,5,8.04
Leone-IC_1,50,30,0.3,34.32,16,2.19,5,8.39
Leone-PA_1,50,30,0.3,34.32,16,2.19,5,11.04
Leone-PA_2,50,30,0.3,34.32,16,2.19,5,9.98
Güneyisi-1,0,0,0,43.1,16,4.19,9.38,9.42
Güneyisi-2,55,30,0.35,43.8,16,4.19,9.38,10.64
Güneyisi-3,55,30,0.7,44,16,4.19,9.38,12.92
Güneyisi-4,55,30,1,45,16,4.19,9.38,13.74
Güneyisi-5,55,30,1.5,43.8,16,4.19,9.38,15.48
Güneyisi-6,65,60,0.35,44,16,4.19,9.38,12.46
Güneyisi-7,65,60,0.7,44.7,16,4.19,9.38,14.33
Güneyisi-8,65,60,1,46.8,16,4.19,9.38,15.4
Güneyisi-9,65,60,1.5,46,16,4.19,9.38,16.13
Güneyisi-10,80,60,0.35,43.9,16,4.19,9.38,13.39
Güneyisi-11,80,60,0.7,44,16,4.19,9.38,14.92
Güneyisi-12,80,60,1,45.5,16,4.19,9.38,16.07
Güneyisi-13,80,60,1.5,44.5,16,4.19,9.38,16.52
Güneyisi-14,0,0,0,39.1,16,4.19,9.38,9.16
Güneyisi-15,55,30,0.35,42.1,16,4.19,9.38,10.34
Güneyisi-16,55,30,0.7,43,16,4.19,9.38,11.78
Güneyisi-17,55,30,1,43.6,16,4.19,9.38,13.41
Güneyisi-18,55,30,1.5,42.4,16,4.19,9.38,15.36
Güneyisi-19,65,60,0.35,42.9,16,4.19,9.38,11.03
Güneyisi-20,65,60,0.7,43.5,16,4.19,9.38,12.31
Güneyisi-21,65,60,1,44.4,16,4.19,9.38,14.8
Güneyisi-22,65,60,1.5,43.8,16,4.19,9.38,15.89
Güneyisi-23,80,60,0.35,42.8,16,4.19,9.38,11.76
Güneyisi-24,80,60,0.7,43.1,16,4.19,9.38,14.14
Güneyisi-25,80,60,1,44.1,16,4.19,9.38,15.24
Güneyisi-26,80,60,1.5,43.7,16,4.19,9.38,16.36
Yazıcı-1,0,0,0,23.52,14,2.86,5,8.48
Yazıcı-2,40,30,0.13,24.48,14,2.86,5,8.54
Yazıcı-3,40,30,0.25,24.88,14,2.86,5,8.64
Yazıcı-4,40,30,0.38,25.2,14,2.86,5,8.7
Yazıcı-5,40,30,0.5,25.52,14,2.86,5,8.9
Yazıcı-6,40,30,0.75,26.56,14,2.86,5,9
Yazıcı-7,40,30,1,26.8,14,2.86,5,9.06
Yazıcı-8,0,0,0,23.52,14,2.86,5,8.48
Yazıcı-9,80,60,0.13,24.88,14,2.86,5,8.74
Yazıcı-10,80,60,0.25,25.28,14,2.86,5,8.83
Yazıcı-11,80,60,0.38,25.92,14,2.86,5,9.13
Yazıcı-12,80,60,0.5,26.32,14,2.86,5,9.42
Yazıcı-13,80,60,0.75,27.28,14,2.86,5,9.68
Yazıcı-14,80,60,1,27.76,14,2.86,5,9.81
Yazıcı-15,0,0,0,23.52,14,3.93,5,9.81
Yazıcı-16,40,30,0.13,24.48,14,3.93,5,9.91
Yazıcı-17,40,30,0.25,24.88,14,3.93,5,9.91
Yazıcı-18,40,30,0.38,25.2,14,3.93,5,9.97
Yazıcı-19,40,30,0.5,25.52,14,3.93,5,10.3
Yazıcı-20,40,30,0.75,26.56,14,3.93,5,10.62
Yazıcı-21,40,30,1,26.8,14,3.93,5,10.82
Yazıcı-22,0,0,0,23.52,14,3.93,5,9.81
Yazıcı-23,80,60,0.13,24.88,14,3.93,5,9.94
Yazıcı-24,80,60,0.25,25.28,14,3.93,5,10
Yazıcı-25,80,60,0.38,25.92,14,3.93,5,10.07
Yazıcı-26,80,60,0.5,26.32,14,3.93,5,10.3
Yazıcı-27,80,60,0.75,27.28,14,3.93,5,10.69
Yazıcı-28,80,60,1,27.76,14,3.93,5,11.01
Yazıcı-29,0,0,0,23.52,14,5,5,9.81
Yazıcı-30,40,30,0.13,24.48,14,5,5,9.91
Yazıcı-31,40,30,0.25,24.88,14,5,5,10.04
Yazıcı-32,40,30,0.38,25.2,14,5,5,10.1
Yazıcı-33,40,30,0.5,25.52,14,5,5,10.26
Yazıcı-34,40,30,0.75,26.56,14,5,5,10.36
